User|Def Acct|Admin|Cluster|Account|Partition|Share|MaxJobs|MaxNodes|MaxCPUs|MaxSubmit|MaxWall|MaxCPUMins|QOS|Def QOS
wwong|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
wyan|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
wzhou|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
xdong|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
xdu|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
xhuang|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
xichen|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
xwang|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
ybahroun|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
ycohen|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
yhe|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
yhezaveh|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
yinli|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
yjiang|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
ykora|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
yliu|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
yschiou|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
yshih|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
ytschinkel|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
yuanwang|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
yyoung19|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
yyuan|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
yzhou|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
zkadkhodaie|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
zlin|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
zwhipps|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
zxiao|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
zzhang|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
